上场时间(秒),上场时间(分钟),出场次数,打法类型,得分,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,失误,有效投篮命中率,篮下比重,中距离比重,三分比重,失误占比,造罚球回合数,造罚球占比,number,playerId,playerName,playerNameEn,date,主客场,胜负,opponentId,对手,leagueEventId,scheduleId,gameStart,teamId,teamName,该打法占比,时间段
,,,Transition,4,1.3333,3,1,0,1,2,2,0,0,0,0,0,0.666667,0.3333,0.6667,0,0,0,0,13,32006,李美潼,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.6,H1
,,,Transition,3,3,1,0,0,0,0,0,0,1,1,0,0,1.5,0,0,1,0,0,0,9,80514,王镘淋,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.2,H1
,,,Transition,3,0.75,4,1,0,1,1,0,1,1,1,0,1,0.5,0.3333,0.3333,0.3333,0.25,0,0,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.3077,H1
,,,Transition,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4,31999,贾晋文,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.25,H1
,,,Transition,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,92064,刘琦,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.2,H1
,,,Transition,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,9,32001,王乔睿,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,1,H1
,,,Transition,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,10,80550,伍湘琳,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.0769,H1
,,,P&R-Ball-Handler,2,0.6667,3,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0.3333,1,0.3333,7,80548,罗巧梅,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.75,H1
,,,P&R-Ball-Handler,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1538,H1
,,,P&R-Ball-Handler,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,31,32012,李若莹,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.5,H1
,,,P&R-Ball-Handler,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,9,80514,王镘淋,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.4,H1
,,,P&R-Ball-Handler,0,0,2,1,0,1,0,0,0,1,0,1,0,0,0.5,0,0.5,0,0,0,5,32064,王小青,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.3333,H1
,,,P&R-Ball-Handler,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0.5,0.5,0,0,0,0,10,80550,伍湘琳,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1538,H1
,,,Isolation,2,2,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,10,80550,伍湘琳,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.0769,H1
,,,Post-Up,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.5,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1538,H1
,,,Post-Up,0,0,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0.5,0,0,11,32071,张涛,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.2222,H1
,,,Spot-Up,3,1.5,2,0,0,0,0,0,0,2,1,1,0,0.75,0,0,1,0,0,0,10,80550,伍湘琳,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1538,H1
,,,Spot-Up,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,11,32071,张涛,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.2222,H1
,,,Spot-Up,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,3,30097,钱媛媛,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,1,H1
,,,Spot-Up,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,21,93035,李瑜婧,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.6,H1
,,,Spot-Up,3,3,1,0,0,0,0,0,0,1,1,0,0,1.5,0,0,1,0,0,0,4,32072,吴语桐,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.2,H1
,,,Spot-Up,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,6,92064,刘琦,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.4,H1
,,,Spot-Up,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,40730,李嘉琳,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.3333,H1
,,,Spot-Up,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,15,88706,孙楷文,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,1,H1
,,,Spot-Up,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,80514,王镘淋,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.2,H1
,,,Spot-Up,3,3,1,0,0,0,0,0,0,1,1,0,0,1.5,0,0,1,0,0,0,21,80546,陈怡静,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.2,H1
,,,Spot-Up,0,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0.5,0.5,0,0,0,16,32067,高梓悦,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.25,H1
,,,Spot-Up,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,5,32064,王小青,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.1667,H1
,,,Spot-Up,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.0769,H1
,,,Off-Screen,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,16,32067,高梓悦,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.125,H1
,,,Off-Screen,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,40730,李嘉琳,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.3333,H1
,,,Off-Screen,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0.5,0,0,10,80550,伍湘琳,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1538,H1
,,,Off-Screen,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.0769,H1
,,,Hand-Off,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,7,80548,罗巧梅,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.25,H1
,,,Hand-Off,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4,32072,吴语桐,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.2,H1
,,,Hand-Off,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.0769,H1
,,,Hand-Off,3,3,1,0,0,0,0,0,0,1,1,0,0,1.5,0,0,1,0,0,0,6,92064,刘琦,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.2,H1
,,,Hand-Off,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,21,93035,李瑜婧,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.2,H1
,,,Hand-Off,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,80514,王镘淋,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.2,H1
,,,Hand-Off,3,1,3,0,0,0,0,0,0,2,1,1,1,0.75,0,0,1,0.3333,0,0,10,80550,伍湘琳,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.2308,H1
,,,Cut,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0.5,0,0,11,32071,张涛,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.2222,H1
,,,Cut,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0.5,0,0,21,80546,陈怡静,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.4,H1
,,,Cut,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,80550,伍湘琳,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.0769,H1
,,,Cut,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.0769,H1
,,,Cut,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,92064,刘琦,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.2,H1
,,,Cut,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,31999,贾晋文,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.25,H1
,,,Cut,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,32013,王雨桐,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.5,H1
,,,Cut,4,1.3333,3,2,2,0,1,0,1,0,0,0,0,0.666667,0.6667,0.3333,0,0,0,0,16,32067,高梓悦,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.375,H1
,,,Cut,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,30230,安恒瑶,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.5,H1
,,,Put-Backs,2,2,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,21,80546,陈怡静,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.2,H1
,,,Put-Backs,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,32006,李美潼,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.2,H1
,,,Put-Backs,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,31,32012,李若莹,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.5,H1
,,,Put-Backs,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,16,32013,王雨桐,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.5,H1
,,,Put-Backs,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0.5,0.5,0,0,0,0,4,32072,吴语桐,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.4,H1
,,,Put-Backs,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,6,30230,安恒瑶,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.5,H1
,,,Put-Backs,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,31999,贾晋文,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.25,H1
,,,Miscellaneous,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,13,32006,李美潼,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.2,H1
,,,Miscellaneous,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,31999,贾晋文,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.25,H1
,,,Miscellaneous,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.0769,H1
,,,Miscellaneous,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10,80550,伍湘琳,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.0769,H1
,,,Miscellaneous,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,21,80546,陈怡静,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.2,H1
,,,Miscellaneous,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,32064,王小青,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.1667,H1
,,,Miscellaneous,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,16,32067,高梓悦,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.125,H1
,,,Miscellaneous,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0.5,0,0,11,32071,张涛,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.2222,H1
,,,Transition,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,40730,李嘉琳,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.1111,H2
,,,Transition,3,1.5,2,0,0,0,0,0,0,2,1,1,0,0.75,0,0,1,0,0,0,6,92064,刘琦,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.5,H2
,,,Transition,2,0.5,4,2,1,1,0,0,0,0,0,0,1,0.5,1,0,0,0.25,1,0.25,11,32071,张涛,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.4,H2
,,,Transition,2,1,2,1,1,0,1,0,1,0,0,0,0,0.5,0.5,0.5,0,0,0,0,9,80514,王镘淋,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.2857,H2
,,,Transition,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,5,32064,王小青,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.1111,H2
,,,Transition,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,32006,李美潼,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.25,H2
,,,Transition,2,0.6667,3,2,1,1,0,0,0,1,0,1,0,0.333333,0.6667,0,0.3333,0,0,0,10,80550,伍湘琳,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.4286,H2
,,,Transition,5,2.5,2,1,1,0,0,0,0,1,1,0,0,1.25,0.5,0,0.5,0,0,0,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1429,H2
,,,P&R-Ball-Handler,5,1.25,4,1,1,0,0,0,0,1,1,0,2,1.25,0.5,0,0.5,0.5,0,0,5,32064,王小青,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.4444,H2
,,,P&R-Ball-Handler,3,3,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,32072,吴语桐,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.25,H2
,,,P&R-Ball-Handler,0,0,2,1,0,1,0,0,0,1,0,1,0,0,0.5,0,0.5,0,0,0,10,80550,伍湘琳,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.2857,H2
,,,P&R-Ball-Handler,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.0714,H2
,,,Isolation,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,16,32013,王雨桐,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.2,H2
,,,Isolation,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,32072,吴语桐,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.25,H2
,,,Isolation,2,2,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.0714,H2
,,,Isolation,2,1,2,1,1,0,1,0,1,0,0,0,0,0.5,0.5,0.5,0,0,0,0,11,32071,张涛,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.2,H2
,,,Post-Up,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,32013,王雨桐,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.2,H2
,,,Post-Up,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,16,32067,高梓悦,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.2,H2
,,,Spot-Up,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,6,92064,刘琦,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.25,H2
,,,Spot-Up,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,3,30097,钱媛媛,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,1,H2
,,,Spot-Up,5,1,5,0,0,0,1,1,0,4,1,3,0,0.5,0,0.2,0.8,0,0,0,2,40730,李嘉琳,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.5556,H2
,,,Spot-Up,3,3,1,0,0,0,0,0,0,1,1,0,0,1.5,0,0,1,0,0,0,1,76061,赵婧涵,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.3333,H2
,,,Spot-Up,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,11,32071,张涛,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.1,H2
,,,Spot-Up,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,9,80514,王镘淋,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.1429,H2
,,,Spot-Up,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0.5,0,0,16,32067,高梓悦,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.4,H2
,,,Spot-Up,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.0714,H2
,,,Spot-Up,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0.5,0,0,21,80546,陈怡静,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,1,H2
,,,Spot-Up,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0.5,0,0,5,32064,王小青,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.2222,H2
,,,Spot-Up,2,1,2,0,0,0,1,1,0,1,0,1,0,0.5,0,0.5,0.5,0,0,0,7,80548,罗巧梅,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.6667,H2
,,,Spot-Up,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,31,32012,李若莹,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,1,H2
,,,Spot-Up,3,1.5,2,1,0,1,0,0,0,1,1,0,0,0.75,0.5,0,0.5,0,0,0,13,32006,李美潼,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.5,H2
,,,Off-Screen,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1429,H2
,,,Off-Screen,3,3,1,0,0,0,0,0,0,1,1,0,0,1.5,0,0,1,0,0,0,7,80548,罗巧梅,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.3333,H2
,,,Off-Screen,3,3,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11,32071,张涛,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.1,H2
,,,Off-Screen,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,5,32064,王小青,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.1111,H2
,,,Hand-Off,5,1.6667,3,1,1,0,0,0,0,1,1,0,1,1.25,0.5,0,0.5,0.3333,0,0,9,80514,王镘淋,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.4286,H2
,,,Hand-Off,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,1,0.5,4,32072,吴语桐,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.5,H2
,,,Hand-Off,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.0714,H2
,,,Cut,7,1.75,4,1,1,0,1,1,0,0,0,0,0,1,0.5,0.5,0,0,2,0.5,4,31999,贾晋文,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,1,H2
,,,Cut,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,9,80514,王镘淋,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.1429,H2
,,,Cut,2,2,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6,92064,刘琦,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.25,H2
,,,Cut,2,1,2,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.5,0,0,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1429,H2
,,,Cut,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,40730,李嘉琳,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.1111,H2
,,,Cut,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,13,32006,李美潼,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.25,H2
,,,Cut,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,32013,王雨桐,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.2,H2
,,,Cut,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,16,32067,高梓悦,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.2,H2
,,,Cut,3,3,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,76061,赵婧涵,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.3333,H2
,,,Put-Backs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,32064,王小青,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.1111,H2
,,,Put-Backs,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.0714,H2
,,,Put-Backs,2,2,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,10,80550,伍湘琳,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1429,H2
,,,Put-Backs,4,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,16,32013,王雨桐,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.4,H2
,,,Put-Backs,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,16,32067,高梓悦,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.2,H2
,,,Put-Backs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,32071,张涛,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.1,H2
,,,Put-Backs,2,1,2,2,1,1,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,2,40730,李嘉琳,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.2222,H2
,,,Put-Backs,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,76061,赵婧涵,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.3333,H2
,,,Miscellaneous,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,10,80550,伍湘琳,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.1429,H2
,,,Miscellaneous,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,11,32071,张涛,,2025-06-06,,,1003320449,北京大学,20005,200050010977,,1003320453,清华大学,0.1,H2
,,,Miscellaneous,2,0.6667,3,0,0,0,2,1,1,0,0,0,1,0.5,0,1,0,0.3333,0,0,11,32005,王家绘,,2025-06-06,,,1003320453,清华大学,20005,200050010977,,1003320449,北京大学,0.2143,H2
